existingchecking	duration	credithistory	purpose	creditamount	savings	employmentsince	installmentrate	otherdebts	residencesince	property	otherinstallmentplans	housing	existingcredits	job	peopleliable	telephone	foreignworker	classification	gender
x < 0 DM	6	critical accnt. / other credits	radio/tv	1169	unknown	x >= 7 years	4	none	4	real estate	none	own	2	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	48	existing credits paid	radio/tv	5951	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	0	F
no checking account	12	critical accnt. / other credits	education	2096	x < 100 DM	4 <= x < 7 years	2	none	3	real estate	none	own	1	unskilled-resident	2	none	yes	1	M
x < 0 DM	42	existing credits paid	forniture	7882	x < 100 DM	4 <= x < 7 years	2	guarantor	4	soc. savings / life insurance	none	for free	1	skilled employee / official	2	none	yes	1	M
x < 0 DM	24	delay	new car	4870	x < 100 DM	1 <= x < 4 years	3	none	4	unknown	none	for free	2	skilled employee / official	2	none	yes	0	M
no checking account	36	existing credits paid	education	9055	unknown	1 <= x < 4 years	2	none	4	unknown	none	for free	1	unskilled-resident	2	yes	yes	1	M
no checking account	24	existing credits paid	forniture	2835	500 <= x < 1000 DM	x >= 7 years	3	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	36	existing credits paid	used car	6948	x < 100 DM	1 <= x < 4 years	2	none	2	car or other	none	rent	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	12	existing credits paid	radio/tv	3059	x >= 1000 DM	4 <= x < 7 years	2	none	4	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	30	critical accnt. / other credits	new car	5234	x < 100 DM	unemployed	4	none	2	car or other	none	own	2	management / self-employed / highly qualified employee / officer	1	none	yes	0	M
0 <= x < 200 DM	12	existing credits paid	new car	1295	x < 100 DM	x < 1 year	3	none	1	car or other	none	rent	1	skilled employee / official	1	none	yes	0	F
x < 0 DM	48	existing credits paid	business	4308	x < 100 DM	x < 1 year	3	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	12	existing credits paid	radio/tv	1567	x < 100 DM	1 <= x < 4 years	1	none	1	car or other	none	own	1	skilled employee / official	1	yes	yes	1	F
x < 0 DM	24	critical accnt. / other credits	new car	1199	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	2	unskilled-resident	1	none	yes	0	M
x < 0 DM	15	existing credits paid	new car	1403	x < 100 DM	1 <= x < 4 years	2	none	4	car or other	none	rent	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	24	existing credits paid	radio/tv	1282	100 <= x < 500 DM	1 <= x < 4 years	4	none	2	car or other	none	own	1	unskilled-resident	1	none	yes	0	F
no checking account	24	critical accnt. / other credits	radio/tv	2424	unknown	x >= 7 years	4	none	4	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
x < 0 DM	30	no credits	business	8072	unknown	x < 1 year	2	none	3	car or other	bank	own	3	skilled employee / official	1	none	yes	1	M
